URL,Is there a notice,number in the df,
https://wordpress.org/,0,5,
https://github.com/,0,11,
https://drive.google.com/,0,14,
https://vimeo.com/,0,17,
https://i1.wp.com/,0,42,
https://patreon.com/,1,48,It took to long to pop up for checker
https://i.ytimg.com/,0,56,
https://static.googleusercontent.com/,0,90,
https://transparencyreport.google.com/,0,100,
https://baidu.com/,0,116,
https://booking.com/,1,119,Not there in the screenshot suspect time
https://music.apple.com/,0,127,
https://gsuite.google.com/,1,155,Not there on screenshot
https://example.com/,0,157,
https://fiber.google.com/,0,168,
https://missingkids.com/,0,212,
https://admin.google.com/,0,214,
https://xkcd.com/,0,219,
https://zillow.com/,0,220,
https://ietf.org/,0,234,
https://heise.de/,1,243,German
https://bizjournals.com/,0,248,
https://mdr.de/,0,254,
https://www.britannica.com/,1,256,Unknown why it missed this
https://feedly.com/,0,278,
https://jigsaw.w3.org/,0,285,
https://tv.youtube.com/,0,298,
https://es.wikipedia.org/,0,299,
https://oecd.org/,0,328,
https://www.bluehost.com/,1,348,Blocking crawler have to perform captcha
https://networkadvertising.org/,0,378,
https://smashwords.com/,0,379,
https://cargocollective.com/,0,380,
https://nyu.edu/,0,381,
https://www.seattletimes.com/,0,389,
https://mediapost.com/,0,392,
https://steemit.com/,0,396,
https://usps.com/,0,406,
https://jurllyshe.com/,0,408,
https://virustotal.com/,0,410,
https://farm4.static.flickr.com/,0,416,
https://linuxfoundation.org/,0,422,
https://princeton.edu/,0,426,
https://popularmechanics.com/,1,427, did not pop up for crawler
https://discussions.apple.com/,0,433,
https://google.cn/,0,435,
https://www.ascap.com/,1,442,Crawler blocked
https://amzn.com/,0,462,
https://treasury.gov/,0,477,
https://en.wiktionary.org/,0,491,
https://bleepingcomputer.com/,0,502,
https://artstation.com/,0,504,
https://a-course-in-miracles.net/,0,508,
https://v0.wordpress.com/,0,534,
https://rubykaigi.org/,0,538,
https://mass.gov/,0,540,
https://goodgame.ru/,0,549,
https://rd.com/,0,553,
https://rt.com/,0,568,
https://socialimpact.youtube.com/,0,577,
https://s-media-cache-ak0.pinimg.com/,0,581,
https://encrypted-tbn0.gstatic.com/,0,584,
https://pandora.com/,0,586,
https://reurl.cc/,0,628,
https://neilpatel.com/,0,631,
https://musicbrainz.org/,0,640,
https://accounts.tsv.catholic.edu.au/,0,642,
https://learnathome.withyoutube.com/,1,652,No notice for scraper but manualy got pop up
https://culturebox.francetvinfo.fr/,1,654,"No notice for scraper, but for me it is"
https://adidas.com/,1,665,Only white picture for scraper
https://mysitefeed.com/,0,675,
https://fatwreck.com/,0,677,
https://jsfiddle.net/,0,702,
https://audible.com/,0,717,
https://macobserver.com/,1,722,"Suspect took to long time to pop up, not present on screenshot"
https://patents.google.com/,0,724,
https://cia.gov/,0,736,
https://dzone.com/,0,750,
https://hongkiat.com/,0,759,
https://imal.org/,0,760,
https://suamusica.com.br/,0,761,
https://zara.com/,1,762,Scraper denied access
https://tracks.arte.tv/,0,774,
https://helloflo.com/,0,777,
https://video.news.sky.com/,0,787,
https://power106.com/,0,790,Blocked me and scraper
https://themanifeststation.net/,0,801,
https://openoffice.org/,0,813,
https://nintendo.com/,0,818,
https://socialmediaexaminer.com/,0,825,
https://nl.wikipedia.org/,0,851,
https://amnestyusa.org/,0,856,
https://sufilive.com/,0,860,
https://warehamforge.ca/,0,862,
https://b.scorecardresearch.com/,0,865,
https://dashlane.com/,0,879,
https://akc.org/,0,892,
https://boogalu.com/,0,917,
https://toplist.cz/,0,923,
https://amnh.org/,0,932,
https://macrumors.com/,1,934,
sum,14,,12 blocked due to not being there for scraper
%,"0,1386138614",,"0,0198019802"